Element,Wavelength_A
C I,9353.695
C I,9378.519
C I,9379.663
C I,9405.73
C I,9413.294
C I,9443.687
C I,9448.713
C I,9455.208999999999
C I,9470.957
C I,9505.021
C I,9533.301
C I,9542.965
C I,9570.179
C I,9576.624
C I,9580.588
C I,9591.729
C I,9595.623
C I,9601.494
C I,9603.034
C I,9620.777
C I,9627.439
C I,9627.615
C I,9629.914999999999
C I,9634.759
C I,9635.168
C I,9650.049
C I,9650.458999999999
C I,9657.469
C I,9657.469
C I,9658.43
C I,9664.033
C I,9670.68
C I,9670.68
C I,9677.26
C I,9677.26
C I,9680.624
C I,9681.309
C I,9687.219000000001
C I,9687.219000000001
C I,9691.191
C I,9691.275000000001
C I,9723.673
C I,9736.627999999999
C I,9737.046
C I,9737.065
C I,9746.708999999999
C I,9818.280999999999
C I,9841.836
C I,9852.234
C I,9852.312
C I,9859.055
C I,9859.152
C I,9889.776
C I,9893.917
C I,9894.005
C I,9914.552
C I,9915.554
C I,9915.653
C I,9916.46
C I,9941.349
C I,9947.393
C I,9951.789999999999
C I,9952.225
C I,9953.256
N I,7423.641
N I,7442.298
N I,7468.312
N I,8184.861
N I,8188.012
N I,8200.357
N I,8210.715
N I,8216.336
N I,8223.128
N I,8242.389
N I,8567.735
N I,8594.0
N I,8629.235
N I,8655.878
N I,8680.282
N I,8683.403
N I,8686.149000000001
N I,8703.247
N I,8711.703
N I,8718.837
N I,8728.901
N I,8747.369
N I,9386.805
N I,9392.793
N I,9460.676
O I,3947.2949999999996
O I,3947.481
O I,3947.5860000000002
O I,4368.193
O I,4368.242
O I,4368.258
O I,6726.282999999999
O I,6726.539000000001
O I,7771.9439999999995
O I,7774.166
O I,7775.388000000001
O I,8446.247
O I,8446.359
O I,8446.758
O I,9260.806
O I,9260.848
O I,9260.936
O I,9262.582
O I,9262.67
O I,9262.776
O I,9265.826
O I,9265.932
O I,9266.006
Na I,2680.3410000000003
Na I,2852.8109999999997
Na I,2853.0119999999997
Na I,3302.3680000000004
Na I,3302.978
Na I,4213.001
Na I,4216.057
Na I,4238.987
Na I,4242.081
Na I,4273.643
Na I,4276.786
Na I,4291.005
Na I,4321.401
Na I,4324.616
Na I,4324.616
Na I,4344.734
Na I,4390.023
Na I,4393.34
Na I,4393.34
Na I,4419.884
Na I,4423.247
Na I,4494.18
Na I,4497.657
Na I,4497.657
Na I,4541.634
Na I,4545.184
Na I,4664.811000000001
Na I,4668.557
Na I,4668.559
Na I,4747.941
Na I,4751.822
Na I,4978.541
Na I,4982.808999999999
Na I,4982.814
Na I,5148.839
Na I,5153.402
Na I,5682.633
Na I,5688.1939999999995
Na I,5688.205
Na I,6154.226
Na I,6160.747
Na I,7373.226
Na I,7809.778
Na I,7810.236
Na I,8183.255
Na I,8194.79
Na I,8194.824
Na I,8649.925
Na I,8650.891
Na I,8942.944
Na I,8942.944
Na I,8942.984
Na I,9153.864
Na I,9153.864
Na I,9153.905999999999
Na I,9465.916
Na I,9465.916
Na I,9465.96
Na I,9731.51
Na I,9736.809
Na I,9736.809
Na I,9786.621
Na I,9791.98
Na I,9916.105
Na I,9921.607
Na I,9921.607
Na I,9961.258
Na I,9961.258
Na I,9961.308
Na I,9992.872
Na I,9998.459
